id,name,capacity,fuel,submitted_date,service_date,county,state,transmission_owner,iso_utility,join_key
IC-1198,Robins AFB Solar Substation 115 kV Bus,128,Solar+Storage,10/31/2023,10/24/2025,Houston,GA,Southern Company,SoCo,houston_ga
IC-1195,Ogeechee River Road Substation 115 kV Bus,200,Solar,10/27/2023,8/15/2028,Warren,GA,Southern Company,SoCo,warren_ga
IC-1187,Gordon Substation 115 kV Bus,220,Storage,10/26/2023,5/28/2027,Wilkinson,GA,Southern Company,SoCo,wilkinson_ga
IC-1183,Thomson Primary 230 kV Bus,250,Solar,10/16/2023,4/15/2027,McDuffie,GA,Southern Company,SoCo,mcduffie_ga
IC-1180,Laurel East - South Jones 230 kV Line,200,Solar,10/4/2023,8/1/2027,Jones,MS,Southern Company,SoCo,jones_ms
IC-1176,Branch - Springhill Church 230 kV Line,68.5,Solar,9/26/2023,1/1/2028,Glascock,GA,Southern Company,SoCo,glascock_ga
IC-1172,Sandersville #1 - Wadley Primary 230 kV LIne,127.5,Solar,9/8/2023,5/31/2027,Jefferson,GA,Southern Company,SoCo,jefferson_ga
IC-1170,Villa Rica Substation 500 kV Bus,500,Storage,8/22/2023,6/15/2027,Douglas,GA,Southern Company,SoCo,douglas_ga
IC-1168,Yates 6 & 7 Substation 230 kV Bus,411,Natural Gas,8/11/2023,12/1/2025,Coweta,GA,Southern Company,SoCo,coweta_ga
IC-1167,Yates 6 & 7 Substation 230 kV Bus,822,Natural Gas,8/11/2023,12/1/2025,Coweta,GA,Southern Company,SoCo,coweta_ga
IC-1166,Yates 6 & 7 Substation 230 kV Bus,411,Natural Gas,8/11/2023,12/1/2025,Coweta,GA,Southern Company,SoCo,coweta_ga
IC-1165,East Watkinsville - Russell Dam (USA) 230 kV Line,150,Solar,8/10/2023,3/10/2027,Elbert,GA,Southern Company,SoCo,elbert_ga
IC-1162,Jackson Shoals - Sylacauga 115 kV Line,100,Solar,8/3/2023,11/1/2027,Talladega,AL,Southern Company,SoCo,talladega_al
IC-1160,Gaston SP Substation 230 kV Bus,403.1,Natural Gas,8/1/2023,6/1/2030,Shelby,AL,Southern Company,SoCo,shelby_al
IC-1159,Gaston SP Substation 230 kV Bus,403.1,Natural Gas,8/1/2023,6/1/2030,Shelby,AL,Southern Company,SoCo,shelby_al
IC-1158,Ellicott TS Substation 230 kV Bus,685,Natural Gas,8/1/2023,11/1/2028,Mobile,AL,Southern Company,SoCo,mobile_al
IC-1157,Millers Ferry Dam (COE) - Sunny South SS 115 kV Line,80,Solar,7/28/2023,12/1/2028,Wilcox,AL,Southern Company,SoCo,wilcox_al
IC-1155,Cherokee - Grange Road 46 kV Line,50,Storage,7/20/2023,9/30/2025,Chatham,GA,Southern Company,SoCo,chatham_ga
IC-1154,Greenville - Pintlala 115 kV Line,80,Solar+Storage,7/20/2023,6/1/2028,Lowndes,AL,Southern Company,SoCo,lowndes_al
IC-1153,Kathleen - Pitts 230 kV Line,150,Solar,7/18/2023,4/1/2027,Wilcox,GA,Southern Company,SoCo,wilcox_ga
IC-1152,Sun Hill - Wadley Primary 230 kV Line,200,Solar,7/18/2023,5/15/2027,Washington,GA,Southern Company,SoCo,washington_ga
IC-1149,North Tifton - Raccoon Creek 500 kV Line,400,Solar,7/14/2023,3/31/2028,Mitchell,GA,Southern Company,SoCo,mitchell_ga
IC-1147,Ohara - Scherer 500 kV Line,500,Solar,6/26/2023,3/15/2028,Monroe,GA,Southern Company,SoCo,monroe_ga
IC-1146,Plant Watson - Hurricane Creek 230 kV Line,170,Solar,6/23/2023,10/1/2029,Stone,MS,Southern Company,SoCo,stone_ms
IC-1145,Jasper East SS Substation 230 kV Bus,156,Solar,6/9/2023,11/5/2027,Jasper,MS,Southern Company,SoCo,jasper_ms
IC-1144,Kingston Substation 230 kV Bus,260,Storage,6/9/2023,5/1/2027,Bartow,GA,Southern Company,SoCo,bartow_ga
IC-1142,Gordon - Milledgeville (WHITE) 115 kV Line,183,Solar,5/30/2023,5/15/2028,Baldwin,GA,Southern Company,SoCo,baldwin_ga
IC-1137,Cuthbert Primary - Dawson Primary 115 kV Line,100,Solar+Storage,4/26/2023,5/30/2027,Randolph,GA,Southern Company,SoCo,randolph_ga
IC-1136,Anthony Shoals - Washington 115 kV Line,105,Solar,4/14/2023,9/1/2027,Lincoln,GA,Southern Company,SoCo,lincoln_ga
IC-1132,Demopolis - Greensboro 115 kV Line,80,Solar,3/24/2023,7/1/2027,Hale,AL,Southern Company,SoCo,hale_al
IC-1128,Greene County - North Selma 230 kV Line,79.9,Solar,3/3/2023,6/30/2027,Perry,AL,Southern Company,SoCo,perry_al
IC-1127,Greene County - North Selma 230 kV Line,79.9,Solar,3/3/2023,6/30/2027,Perry,AL,Southern Company,SoCo,perry_al
IC-1122,Pike County - Snowdoun 230 kV Line,79.9,Solar,3/1/2023,9/30/2027,Montgomery,AL,Southern Company,SoCo,montgomery_al
IC-1121,Pike County - Snowdoun 230 kV Line,79.9,Solar,3/1/2023,9/30/2027,Montgomery,AL,Southern Company,SoCo,montgomery_al
IC-1116,Roopville DS Substation 230 kV Bus,100,Storage,1/31/2023,8/15/2027,Carroll,GA,Southern Company,SoCo,carroll_ga
IC-1114,Billingsley SS Substation 500 kV Bus,951,Natural Gas,1/10/2023,7/1/2024,Autauga,AL,Southern Company,SoCo,autauga_al
IC-1113,Hattiesburg Southwest - Adams Creek 230 kV Line,200,Solar,1/9/2023,11/1/2027,Lamar,MS,Southern Company,SoCo,lamar_ms
IC-1103,Vidalia - Wadley Primary (BLACK) 230 kV Line,188,Solar+Storage,12/22/2022,7/1/2027,Emanuel,GA,Southern Company,SoCo,emanuel_ga
IC-1102,Snowdoun TS Substation 230 kV Bus,400,Storage,12/12/2022,9/30/2026,Montgomery,AL,Southern Company,SoCo,montgomery_al
IC-1101,Greene County - North Selma 230 kV Line,150,Solar+Storage,12/6/2022,5/31/2027,Perry,AL,Southern Company,SoCo,perry_al
IC-1100,Kathleen - Pitts 230 kV Line,300,Solar+Storage,11/29/2022,6/28/2026,Pulaski,GA,Southern Company,SoCo,pulaski_ga
IC-1099,Kathleen - Pitts 230 kV Line,150,Solar+Storage,11/29/2022,6/28/2026,Pulaski,GA,Southern Company,SoCo,pulaski_ga
IC-1098,Butler DS Substation 230 kV Bus,225,Solar,11/25/2022,6/15/2027,Taylor,GA,Southern Company,SoCo,taylor_ga
IC-1097,Vidalia - Wadley Primary (Black) 230 kV Line,200,Solar,11/25/2022,6/15/2026,Emanuel,GA,Southern Company,SoCo,emanuel_ga
IC-1094,North Tifton - Stump Creek 230 kV Line,200,Solar,11/22/2022,6/15/2026,Irwin,GA,Southern Company,SoCo,irwin_ga
IC-1091,Big Creek - Chickasaw 230 kV Line,300,Storage,11/17/2022,3/31/2027,Mobile,AL,Southern Company,SoCo,mobile_al
IC-1089,Eaton - Lucedale 115 kV Line,125,Solar,11/9/2022,7/1/2027,Perry,MS,Southern Company,SoCo,perry_ms
IC-1088,North Americus - Palmyra 230 kV Line,200,Solar,11/7/2022,5/5/2026,Lee,GA,Southern Company,SoCo,lee_ga
IC-1087,Eufaula - Fort Mitchell 115 kV Line,80,Solar+Storage,11/2/2022,7/15/2026,Russell,AL,Southern Company,SoCo,russell_al
IC-1086,Greene County - North Selma 230 kV Line,80,Solar+Storage,11/2/2022,7/15/2026,Perry,AL,Southern Company,SoCo,perry_al
IC-1084,Plant Wansley Substation 500 kV Bus,470,Solar,10/26/2022,8/9/2027,Coweta,GA,Southern Company,SoCo,coweta_ga
IC-1083,Demopolis - Selma 115 kV Line,80,Solar,10/26/2022,6/19/2026,Marengo,AL,Southern Company,SoCo,marengo_al
